
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  -16.0545     2.0462    -3.560    0.082153    0.000000    0.005112   -0.567331   -0.036965     0.0000    0.0000    0.6056    0.0000
  -15.9449     2.0819    -2.434    0.130977    0.000000    0.005568   -0.763776   -0.053118     0.0000    0.0000    0.6219    0.0641
  -15.7263     2.1533    -1.570    0.166700    0.000000    0.004571   -0.865065   -0.059913     0.0000    0.0000    0.6010    0.8117
  -15.4003     2.2597    -1.050    0.189838    0.000000    0.003481   -0.911320   -0.064707     0.0000    0.0000    0.5866    3.9462
  -14.9690     2.4004    -0.760    0.204292    0.000000    0.002711   -0.904720   -0.067815     0.0000    0.0000    0.5779   12.5302
  -14.4356     2.5745    -0.595    0.212661    0.000000    0.002210   -0.859162   -0.069770     0.0000    0.0000    0.5736   31.1460
  -13.8035     2.7807    -0.499    0.216683    0.000000    0.001887   -0.789664   -0.070950     0.0000    0.0000    0.5728   65.9825
  -13.0771     3.0177    -0.444    0.217641    0.000000    0.001686   -0.708801   -0.071639     0.0000    0.0000    0.5745   124.8535
  -12.2614     3.2839    -0.416    0.216461    0.000000    0.001570   -0.625375   -0.072028     0.0000    0.0000    0.5782   217.1402
  -11.3620     3.5774    -0.405    0.213778    0.000000    0.001512   -0.544814   -0.072238     0.0000    0.0000    0.5836   353.6483
  -10.3849     3.8962    -0.408    0.210031    0.000000    0.001496   -0.470129   -0.072349     0.0000    0.0000    0.5906   546.3630
   -9.3369     4.2382    -0.419    0.205458    0.000000    0.001502   -0.402624   -0.072393     0.0000    0.0000    0.5989   808.0960
   -8.2251     4.6010    -0.436    0.200224    0.000000    0.001523   -0.342687   -0.072397     0.0000    0.0000    0.6086   1152.0061
   -7.0571     4.9822    -0.457    0.194413    0.000000    0.001550   -0.290153   -0.072376     0.0000    0.0000    0.6199   1591.0146
   -5.8409     5.3790    -0.480    0.188037    0.000000    0.001578   -0.244539   -0.072338     0.0000    0.0000    0.6331   2137.1252
   -4.5849     5.7889    -0.506    0.181070    0.000000    0.001599   -0.205273   -0.072297     0.0000    0.0000    0.6485   2800.6665
   -3.2975     6.2090    -0.530    0.173399    0.000000    0.001605   -0.171770   -0.072262     0.0000    0.0000    0.6667   3589.4979
   -1.9875     6.6364    -0.544    0.164762    0.000000    0.001567   -0.143546   -0.072248     0.0000    0.0000    0.6879   4508.1863
   -0.6640     7.0683    -0.486    0.154261    0.000000    0.001317   -0.120613   -0.072556     0.0000    0.0000    0.7121   5557.1397
    0.6640     7.0683    -0.486    0.154261    0.000000    0.001317   -0.120613   -0.072556     0.0000    0.0000    0.7121   5557.1397
    1.9875     6.6364    -0.544    0.164762    0.000000    0.001567   -0.143546   -0.072248     0.0000    0.0000    0.6879   4508.1863
    3.2975     6.2090    -0.530    0.173399    0.000000    0.001605   -0.171770   -0.072262     0.0000    0.0000    0.6667   3589.4979
    4.5849     5.7889    -0.506    0.181070    0.000000    0.001599   -0.205273   -0.072297     0.0000    0.0000    0.6485   2800.6665
    5.8409     5.3790    -0.480    0.188037    0.000000    0.001578   -0.244539   -0.072338     0.0000    0.0000    0.6331   2137.1252
    7.0571     4.9822    -0.457    0.194413    0.000000    0.001550   -0.290153   -0.072376     0.0000    0.0000    0.6199   1591.0146
    8.2251     4.6010    -0.436    0.200224    0.000000    0.001523   -0.342687   -0.072397     0.0000    0.0000    0.6086   1152.0061
    9.3369     4.2382    -0.419    0.205458    0.000000    0.001502   -0.402624   -0.072393     0.0000    0.0000    0.5989   808.0960
   10.3849     3.8962    -0.408    0.210031    0.000000    0.001496   -0.470129   -0.072349     0.0000    0.0000    0.5906   546.3630
   11.3620     3.5774    -0.405    0.213778    0.000000    0.001512   -0.544814   -0.072238     0.0000    0.0000    0.5836   353.6483
   12.2614     3.2839    -0.416    0.216461    0.000000    0.001570   -0.625375   -0.072028     0.0000    0.0000    0.5782   217.1402
   13.0771     3.0177    -0.444    0.217641    0.000000    0.001686   -0.708801   -0.071639     0.0000    0.0000    0.5745   124.8535
   13.8035     2.7807    -0.499    0.216683    0.000000    0.001887   -0.789664   -0.070950     0.0000    0.0000    0.5728   65.9825
   14.4356     2.5745    -0.595    0.212661    0.000000    0.002210   -0.859162   -0.069770     0.0000    0.0000    0.5736   31.1460
   14.9690     2.4004    -0.760    0.204292    0.000000    0.002711   -0.904720   -0.067815     0.0000    0.0000    0.5779   12.5302
   15.4003     2.2597    -1.050    0.189838    0.000000    0.003481   -0.911320   -0.064707     0.0000    0.0000    0.5866    3.9462
   15.7263     2.1533    -1.570    0.166700    0.000000    0.004571   -0.865065   -0.059913     0.0000    0.0000    0.6010    0.8117
   15.9449     2.0819    -2.434    0.130977    0.000000    0.005568   -0.763776   -0.053118     0.0000    0.0000    0.6219    0.0641
   16.0545     2.0462    -3.560    0.082153    0.000000    0.005112   -0.567331   -0.036965     0.0000    0.0000    0.6056    0.0000

